Domain Length	Pressure	Density	Velocity	Temperature	Sound Speed
0.62	0.803571	2.66667	0.375	0.00104996	0.649519	0.753348
0.63	0.803571	2.66667	0.375	0.00104996	0.649519	0.753348
0.64	0.803571	2.66667	0.375	0.00104996	0.649519	0.753348
0.65	0.803571	2.66667	0.375	0.00104996	0.649519	0.753348
0.66	0.803571	2.66667	0.375	0.00104996	0.649519	0.753348
0.67	0.803571	2.66667	0.375	0.00104996	0.649519	0.753348
0.68	0.803571	2.66667	0.375	0.00104996	0.649519	0.753348
0.69	0.803571	2.66667	0.375	0.00104996	0.649519	0.753348
0.7	0.803571	2.66667	0.375	0.00104996	0.649519	0.753348
0.71	0.803571	2.66667	0.375	0.00104996	0.649519	0.753348
0.72	0.803571	2.66667	0.375	0.00104996	0.649519	0.753348
0.73	0.803571	2.66667	0.375	0.00104996	0.649519	0.753348
0.74	0.803571	2.66667	0.375	0.00104996	0.649519	0.753348
0.75	0.803571	2.66667	0.375	0.00104996	0.649519	0.753348
0.76	0.803571	2.66667	0.375	0.00104996	0.649519	0.753348
0.77	0.803571	2.66667	0.375	0.00104996	0.649519	0.753348
0.78	0.803571	2.66667	0.375	0.00104996	0.649519	0.753348
0.79	0.803571	2.66667	0.375	0.00104996	0.649519	0.753348
0.8	0.803571	2.66667	0.375	0.00104996	0.649519	0.753348
0.81	0.803571	2.66667	0.375	0.00104996	0.649519	0.753348
0.82	0.803571	2.66667	0.375	0.00104996	0.649519	0.753348
0.83	0.803571	2.66667	0.375	0.00104996	0.649519	0.753348
0.84	0.803571	2.66667	0.375	0.00104996	0.649519	0.753348
0.85	0.803571	2.66667	0.375	0.00104996	0.649519	0.753348
0.86	0.803571	2.66667	0.375	0.00104996	0.649519	0.753348
0.87	0.803571	2.66667	0.375	0.00104996	0.649519	0.753348
0.88	0.803571	2.66667	0.375	0.00104996	0.649519	0.753348
0.89	0.803571	2.66667	0.375	0.00104996	0.649519	0.753348
0.9	0.803571	2.66667	0.375	0.00104996	0.649519	0.753348
0.91	0.803571	2.66667	0.375	0.00104996	0.649519	0.753348
0.92	0.803571	2.66667	0.375	0.00104996	0.649519	0.753348
0.93	0.803571	2.66667	0.375	0.00104996	0.649519	0.753348
0.94	0.803571	2.66667	0.375	0.00104996	0.649519	0.753348
0.95	0.803571	2.66667	0.375	0.00104996	0.649519	0.753348
0.96	0.803571	2.66667	0.375	0.00104996	0.649519	0.753348
0.97	0.803571	2.66667	0.375	0.00104996	0.649519	0.753348
0.98	0.803571	2.66667	0.375	0.00104996	0.649519	0.753348
0.99	0.803571	2.66667	0.375	0.00104996	0.649519	0.753348
